
=== WORLDWIDE RACE GRID ===
Post (ET)  | Field | Dist (mi)  | Purse  | ML (1/2)   | Location                  | D | R#
   17:45    | 10    | 0.757      | 5K     | 1.5, 6.0   | Windsor                   | T | 4
   17:54    | 7     | 0.750      | 14K    | ?          | Prairie Meadows           | T | 3
   17:59    | 6     | 2.423      | 23K    | 2.6, 4.0   | Dieppe                    | T | 7
   18:00    | 13    | 1.081      | 4K     | 5.0, 7.5   | Wolverhampton             | T | 3
   18:01    | 6     | 0.750      | 8K     | ?          | Louisiana                 | T | 3
   18:12    | 9     | 1.040      | 33K    | 4.0, 5.0   | Presque Isle              | T | 7
   18:15    | 8     | 1.413      | 9K     | 4.0, 5.0   | Nantes                    | T | 7
   18:15    | 11    | 0.757      | 10K    | 3.5, 5.0   | Windsor                   | T | 5
   18:27    | 7     | 0.750      | 11K    | 3.5, 4.0   | Finger Lakes              | T | 4
   18:29    | 8     | 0.938      | 12K    | ?          | Louisiana                 | T | 4
   18:30    | 11    | 1.081      | 5K     | 3.25, 5.0  | Wolverhampton             | T | 4
   18:39    | 9     | 0.750      | 14K    | 4.0, 4.0   | Presque Isle              | T | 8
   18:40    | 13    | 1.413      | 10K    | 4.0, 5.0   | Nantes                    | T | 8
   18:45    | 11    | 1.431      | 3K     | 4.5, 5.0   | Windsor                   | T | 6
   18:48    | 7     | 0.750      | 35K    | ?          | Prairie Meadows           | T | 5
   18:57    | 8     | 0.875      | 8K     | ?          | Louisiana                 | T | 5
   19:00    | 8     | 0.750      | 22K    | 4.0, 4.5   | Mountaineer               | T | 1
   19:00    | 11    | 1.081      | 5K     | 2.62, 3.75 | Wolverhampton             | T | 5
   19:15    | 12    | 1.250      | 3K     | 2.5, 6.0   | Windsor                   | T | 7
   19:25    | 9     | 0.750      | 9K     | 3.0, 4.0   | Mountaineer               | T | 2
   19:30    | 11    | 0.637      | 3K     | 2.25, 5.5  | Wolverhampton             | T | 6
   19:42    | 9     | 0.750      | 22K    | ?          | Prairie Meadows           | T | 7
   19:45    | 10    | 1.250      | 4K     | 5.0, 5.5   | Windsor                   | T | 8
   19:50    | 11    | 0.875      | 21K    | 4.0, 6.0   | Mountaineer               | T | 3
   19:50    | 6     | 0.750      | 25K    | 3.0, 3.5   | Thistledown               | T | 7
   19:53    | 10    | 0.938      | 26K    | ?          | Louisiana                 | T | 7
   20:00    | 13    | 0.761      | 3K     | 3.25, 5.0  | Wolverhampton             | T | 7
   20:15    | 10    | 0.938      | 19K    | ?          | Mountaineer               | T | 4
   20:30    | 5     | 0.688      | ?      | ?          | Assiniboia                | T | 1
   21:00    | 5     | 0.688      | ?      | ?          | Assiniboia                | T | 2
   21:05    | 7     | 0.625      | 12K    | ?          | Mountaineer               | T | 6
   21:18    | 8     | 0.750      | 7K     | 3.5, 4.5   | Presque Isle              | T | 5
   21:25    | 6     | 0.938      | ?      | ?          | Assiniboia                | T | 3
   21:30    | 9     | 0.250      | 14K    | ?          | Mountaineer               | T | 7
   21:45    | 7     | 0.750      | 22K    | 3.0, 4.0   | Presque Isle              | T | 6
   21:50    | 6     | 0.750      | ?      | ?          | Assiniboia                | T | 4
   22:15    | 7     | 0.625      | ?      | ?          | Assiniboia                | T | 5
   22:40    | 10    | 0.688      | ?      | ?          | Assiniboia                | T | 6
   23:05    | 8     | 0.625      | ?      | ?          | Assiniboia                | T | 7
HTML grid exported to: race_grid_2026-06-01.html

=== CONCENTRATED GRID (Field < 7) ===
Post (ET)  | Field | Dist (mi)  | Purse  | ML (1/2)   | Location                  | D | R#
------------------------------------------------------------------------------------------
   12:40    | 6     | 0.812      | 21K    | ?          | Parx                      | T | 1
   13:07    | 6     | 0.750      | 40K    | ?          | Parx                      | T | 2
   13:50    | 5     | 0.750      | 29K    | 2.8, 3.0   | Thistledown               | T | 3
   13:58    | 6     | 0.750      | 29K    | 2.8, 3.5   | Finger Lakes              | T | 3
   14:17    | 5     | 1.500      | 5K     | 2.62, 3.0  | Lingfield Park            | T | 3
   14:20    | 6     | 0.688      | 12K    | 2.6, 3.5   | Thistledown               | T | 4
   14:50    | 6     | 1.000      | 12K    | 2.8, 3.0   | Thistledown               | T | 5
   15:07    | 6     | 2.375      | 10K    | 2.25, 3.0  | Listowel                  | T | 5
   15:20    | 5     | 0.750      | 34K    | 2.8, 3.0   | Thistledown               | T | 6
   17:00    | 6     | 0.750      | 17K    | ?          | Prairie Meadows           | T | 1
   17:27    | 6     | 0.562      | 35K    | ?          | Prairie Meadows           | T | 2
   17:33    | 6     | 0.750      | 7K     | ?          | Louisiana                 | T | 2
   17:59    | 6     | 2.423      | 23K    | 2.6, 4.0   | Dieppe                    | T | 7
   18:01    | 6     | 0.750      | 8K     | ?          | Louisiana                 | T | 3
   19:50    | 6     | 0.750      | 25K    | 3.0, 3.5   | Thistledown               | T | 7
   20:30    | 5     | 0.688      | ?      | ?          | Assiniboia                | T | 1
   21:00    | 5     | 0.688      | ?      | ?          | Assiniboia                | T | 2
   21:25    | 6     | 0.938      | ?      | ?          | Assiniboia                | T | 3
   21:50    | 6     | 0.750      | ?      | ?          | Assiniboia                | T | 4
HTML grid exported to: concentrated_grid_2026-06-01.html
