PostTime     | Field | Distance        | Purse           | Location
17:52 ET     | 10    | ?               | ?               | Oaklawn Park
17:55 ET     | 8     | ?               | ?               | Turf Paradise
17:55 ET     | 12    | ?               | ?               | Turfway Park
18:00        | 9     | 6f              | ?               | Chelmsford City
18:03        | 9     | 1m 110y         | ?               | Oaklawn Park
18:05        | 15    | 1m 6f 146y      | ?               | Toulouse
18:07        | 7     | 6f              | ?               | Mahoning Valley
18:12        | 8     | ?               | ?               | Clonmel
18:14 ET     | 6     | ?               | ?               | Penn National
18:23        | 7     | 6f              | ?               | Gulfstream
18:23 ET     | 11    | ?               | ?               | Turf Paradise
18:25 ET     | 12    | ?               | ?               | Turfway Park
18:30        | 9     | 1m 5f 66y       | ?               | Chelmsford City
18:34        | 7     | 1m              | ?               | Oaklawn Park
18:35        | 7     | 6f              | ?               | Mahoning Valley
18:37        | 16    | 1m 6f 146y      | ?               | Toulouse
18:43 ET     | 7     | ?               | ?               | Penn National
18:51 ET     | 8     | ?               | ?               | Turf Paradise
18:54        | 8     | 1m              | ?               | Gulfstream
18:55 ET     | 8     | ?               | ?               | Turfway Park
19:00        | 8     | 5f              | ?               | Chelmsford City
19:00 ET     | 10    | ?               | ?               | Remington Park
19:00 ET     | 6     | ?               | ?               | Charles Town
19:03        | 6     | 6f              | ?               | Mahoning Valley
19:06        | 8     | 1m 110y         | ?               | Oaklawn Park
19:09        | 11    | 1m 6f 146y      | ?               | Toulouse
19:12 ET     | 6     | ?               | ?               | Penn National
19:19 ET     | 10    | ?               | ?               | Turf Paradise
19:25        | 7     | 6f              | ?               | Gulfstream
19:25 ET     | 11    | ?               | ?               | Turfway Park
19:27 ET     | 10    | ?               | ?               | Remington Park
19:30        | 7     | 7f              | ?               | Chelmsford City
19:30 ET     | 6     | ?               | ?               | Charles Town
19:31        | 7     | 6f              | ?               | Mahoning Valley
19:38        | 10    | 1m 110y         | ?               | Oaklawn Park
19:41        | 14    | 6f 110y         | ?               | Toulouse
19:41 ET     | 6     | ?               | ?               | Penn National
19:52 ET     | 8     | ?               | ?               | Turf Paradise
19:54 ET     | 10    | ?               | ?               | Remington Park
19:55        | 8     | 6f              | ?               | Gulfstream
19:55 ET     | 12    | ?               | ?               | Turfway Park
19:57 ET     | 6     | ?               | ?               | Charles Town
20:00        | 11    | 1m 2f           | ?               | Chelmsford City
20:10 ET     | 7     | ?               | ?               | Penn National
20:12        | 10    | 1m 110y         | ?               | Oaklawn Park
20:15        | 10    | 1m              | ?               | Turf Paradise
20:21 ET     | 10    | ?               | ?               | Remington Park
20:25        | 6     | 7f              | ?               | Gulfstream
20:25 ET     | 11    | ?               | ?               | Turfway Park
20:25 ET     | 5     | ?               | ?               | Charles Town
20:30        | 6     | 2m 4f 63y       | ?               | Chelmsford City
20:39 ET     | 9     | ?               | ?               | Penn National
20:45        | 9     | 1m              | ?               | Oaklawn Park
20:48 ET     | 10    | ?               | ?               | Remington Park
20:49        | 7     | 1m              | ?               | Turf Paradise
20:53 ET     | 7     | ?               | ?               | Charles Town
20:55        | 7     | 1m              | ?               | Gulfstream
20:55 ET     | 12    | ?               | ?               | Turfway Park
21:15 ET     | 10    | ?               | ?               | Remington Park
21:19        | 7     | 1m              | ?               | Oaklawn Park
21:21 ET     | 6     | ?               | ?               | Charles Town
21:22        | 7     | 6f 110y         | ?               | Turf Paradise
21:25        | 9     | 5f 110y         | ?               | Gulfstream
21:25 ET     | 11    | ?               | ?               | Turfway Park
21:42 ET     | 10    | ?               | ?               | Remington Park
21:45        | 7     | 6f              | ?               | Penn National
21:49 ET     | 7     | ?               | ?               | Charles Town
21:52        | 10    | 6f              | ?               | Oaklawn Park
21:55        | 8     | 1m              | ?               | Turf Paradise
21:55        | 13    | 5f              | ?               | Turfway Park
21:55 ET     | 11    | ?               | ?               | Turfway Park
22:09 ET     | 10    | ?               | ?               | Remington Park
22:14        | 6     | 6f              | ?               | Penn National
22:17 ET     | 7     | ?               | ?               | Charles Town
22:23        | 11    | 6f              | ?               | Turf Paradise
22:25        | 14    | 6f 110y         | ?               | Turfway Park
22:25 ET     | 12    | ?               | ?               | Turfway Park
22:36 ET     | 9     | ?               | ?               | Remington Park
22:43        | 7     | 1m              | ?               | Penn National
22:51        | 8     | 1m              | ?               | Turf Paradise
22:55        | 8     | 1m              | ?               | Turfway Park
23:00        | 6     | 7f              | ?               | Charles Town
23:03 ET     | 9     | ?               | ?               | Remington Park
23:12        | 6     | 1m              | ?               | Penn National
23:19        | 11    | 5f              | ?               | Turf Paradise
23:25        | 11    | 6f              | ?               | Turfway Park
23:30        | 6     | 4f 110y         | ?               | Charles Town
23:41        | 6     | 6f              | ?               | Penn National
23:52        | 8     | 6f              | ?               | Turf Paradise
23:55        | 14    | 6f              | ?               | Turfway Park
23:57        | 6     | 4f 110y         | ?               | Charles Town
See Guide    | ?     | ?               | ?               | Muswellbrook (Australia)
See Guide    | ?     | ?               | ?               | Bendigo (Australia)
See Guide    | ?     | ?               | ?               | Darwin (Australia)
See Guide    | ?     | ?               | ?               | Toowoomba (Australia)
