PostTime (ET)  | Field | Distance        | Location                       | D | Race#
  00:00        | ?     | ?               | Angle Park                     | G | 12
  00:00        | ?     | ?               | Antalya                        | T | 1
  00:00        | ?     | ?               | Ascot Park                     | G | 1
  00:00        | ?     | ?               | Ascot Park                     | G | 2
  00:00        | ?     | ?               | Ascot Park                     | G | 3
  00:00        | ?     | ?               | Ascot Park                     | G | 4
  00:00        | ?     | ?               | Ascot Park                     | G | 5
  00:00        | ?     | ?               | Ascot Park                     | G | 6
  00:00        | ?     | ?               | Ascot Park                     | G | 7
  00:00        | ?     | ?               | Ascot Park                     | G | 8
  00:00        | ?     | ?               | Ascot Park                     | G | 9
  00:00        | ?     | ?               | Ascot Park                     | G | 10
  00:00        | ?     | ?               | Ascot Park                     | G | 11
  00:00        | ?     | ?               | Ascot Park                     | G | 12
  00:00        | ?     | ?               | Bulli                          | G | 1
  00:00        | ?     | ?               | Bulli                          | G | 2
  00:00        | ?     | ?               | Bulli                          | G | 3
  00:00        | ?     | ?               | Bulli                          | G | 4
  00:00        | ?     | ?               | Bulli                          | G | 5
  00:00        | ?     | ?               | Bulli                          | G | 6
  00:00        | ?     | ?               | Bulli                          | G | 7
  00:00        | ?     | ?               | Bulli                          | G | 8
  00:00        | ?     | ?               | Bulli                          | G | 9
  00:00        | ?     | ?               | Bulli                          | G | 10
  00:00        | ?     | ?               | Central Park                   | G | 1
  00:00        | ?     | ?               | Funabashi                      | T | 1
  00:00        | ?     | ?               | Funabashi                      | T | 2
  00:00        | ?     | ?               | Funabashi                      | T | 3
  00:00        | ?     | ?               | Funabashi                      | T | 4
  00:00        | ?     | ?               | Funabashi                      | T | 5
  00:00        | ?     | ?               | Funabashi                      | T | 6
  00:00        | ?     | ?               | Funabashi                      | T | 7
  00:00        | ?     | ?               | Funabashi                      | T | 8
  00:00        | ?     | ?               | Funabashi                      | T | 9
  00:00        | ?     | ?               | Funabashi                      | T | 10
  00:00        | ?     | ?               | Funabashi                      | T | 11
  00:00        | ?     | ?               | Funabashi                      | T | 12
  00:00        | ?     | ?               | Gloucester Park                | H | 1
  00:00        | ?     | ?               | Gloucester Park                | H | 2
  00:00        | ?     | ?               | Gloucester Park                | H | 3
